calibration133134135136	[2.9893056494274712, -13.168958521553577]
calibrationA204A203A503A604	[2.9909023274811188, -15.367462092024198]
calibration173174175176	[2.9885802926518634, -12.992026162655293]
calibration193194195196	[2.9867438588760513, -12.07872138331868]
calibration169170171172	[2.9872805424351467, -12.673829859023499]
calibration165166167168	[2.9944511018028104, -16.809752098536137]
calibration095058X05X06	[2.9883602359023764, -13.038414459808337]
113114115116	[2.9891156727222672, -11.930771627427475]
calibrationA015A016A017A018	[2.9877214314457654, -14.316269068287056]
calibrationE203E011E012E013	[2.9876924123760928, -12.072702028786352]
calibration157158159160	[2.9900990513483086, -13.38593872014917]
calibration117118119120	[2.9927976845075803, -16.063246123608678]
calibration161162163164	[2.9907691495556494, -14.681785462665175]
calibrationA104	[2.987948238137982, -13.06962897866606]
calibration137138139140	[2.9945785908460327, -16.621789706729032]
calibrationE103E104E204E603	[2.9884973208927925, -13.159997804487375]
calibration121122123124	[2.9914975012407221, -14.303825753748242]
calibration145146147148	[2.9855837329460586, -11.646696409408378]
calibrationX25X26027	[2.9893788660619389, -13.628151962715947]
calibration153154155156	[2.9901095508422513, -14.235704009179699]
calibrationA001A019A020A103	[2.9862058095788382, -13.611738781304666]
calibrationX21X22X23X24	[2.9942820124394256, -17.169107261162935]
calibrationX01X02X61X63	[2.9859212141045806, -11.507153480887609]
calibration185186187188	[2.9875996459645147, -13.22751832537233]
calibration001002190E503	[2.9863870090142495, -12.270504235261342]
calibration072191189192	[2.9869111553238077, -12.634016614569191]
calibration141142143144	[2.9924879329433693, -14.420708207039297]
109110111112	[2.9880529548525718, -11.850160957791104]
calibration177178179180	[2.9891585595312296, -13.278909283501434]
calibration181182183184	[2.9886560297548064, -14.094137645679439]
calibration129130131132	[2.9918357885574132, -14.656749740134273]
calibrationE014E015E016E504	[2.9916425416218813, -14.976522525144901]
calibrationE604A504A603	[2.9944247353072053, -17.431842852100544]
calibrationE17E18E19E20	[2.9907469146823731, -14.65592307112729]
calibrationA011A012A013A014	[2.9861487256942465, -12.89645355271341]
calibration149150151152	[2.9867022506156919, -11.749914684804025]
calibration125126127128	[2.9877852503855564, -12.235728707735689]
